Антон Владимирович Усепов; 16; 9; Коммерция; 3,60; 2021-2-15
Тимур Игимбаев Ернарович; 17; 11; Программист; 4,05;2020-3-14
Александр Сергеевич Пушкин; 18; 11; Дизайнер; 4,65;2019-6-25
Екатерина Шарапова Александровна; 17; 9; Программист; 4,65; 2021-7-27
Евгений Киселев Алексеевич; 18; 11; Программист; 5,00; 2021-6-19
Роман Смирнов Андреевич; 18; 11; Инженер; 4,05; 2021-12-31
Михаил Богачев Михайлович; 16; 9; Коммерция; 4,3; 2021-6-15
Александр Смирнов Русланович; 18; 11; Строитель; 3,80; 2010-8-11
Егвений Смирнов Романович; 18; 11; Программист; 4,80; 2015-2-20
Савелий Черненко Григорьевич; 16; 9; Спасатель; 3,70; 2011-2-19
